Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
Hospitality,0.64,"{'hotels': 100, 'luxury': 67, 'budget': 32}",36
Telecommunications,0.67,"{'data plans': 87, 'roaming': 99, 'coverage': 48}",142
Food & Beverage,0.09,"{'delivery': 71, 'health': 81, 'ingredients': 59}",200
Telecommunications,0.18,"{'signal': 74, 'coverage': 55, 'billing': 64}",33
Healthcare,0.47,"{'access': 84, 'patient care': 82, 'insurance': 81}",156
Hospitality,0.15,"{'luxury': 24, 'tourism': 29, 'hotels': 86}",43
Healthcare,0.92,"{'diagnosis': 58, 'medications': 39, 'treatment': 57}",77
Security,0.85,"{'authentication': 60, 'encryption': 68, 'cyberattacks': 47}",83
Energy,0.93,"{'gas': 35, 'nuclear': 81, 'electricity': 63}",42
Hospitality,0.48,"{'reservations': 40, 'customer experience': 91, 'reviews': 84}",45
Retail,0.64,"{'availability': 100, 'discount': 27, 'loyalty programs': 54}",183
Real Estate,0.5,"{'rent': 69, 'mortgage': 54, 'pricing': 93}",122
Finance,0.66,"{'debt': 43, 'investment': 22, 'banking': 44}",64
Technology,0.69,"{'design': 46, 'performance': 38, 'AI': 100}",68
Automobile,0.89,"{'warranty': 59, 'mileage': 61, 'insurance': 86}",98
Telecommunications,0.4,"{'data plans': 100, 'customer support': 39, 'roaming': 57}",62
Hospitality,0.86,"{'reviews': 94, 'restaurants': 47, 'customer experience': 59}",166
Energy,0.2,"{'solar': 34, 'carbon footprint': 67, 'oil': 37}",101
Pharmaceuticals,0.53,"{'side effects': 76, 'research': 60, 'biotechnology': 70}",189
Gaming,0.65,"{'storyline': 67, 'updates': 31, 'mobile': 89}",130
Healthcare,0.1,"{'wait times': 94, 'medications': 80, 'insurance': 80}",88
Retail,0.31,"{'pricing': 55, 'promotions': 49, 'discount': 33}",179
Technology,0.91,"{'cybersecurity': 85, 'bug': 81, 'software': 57}",39
Finance,0.9,"{'debt': 30, 'savings': 32, 'investment': 66}",147
Retail,0.34,"{'discount': 54, 'promotions': 82, 'stock': 25}",75
Aerospace,0.81,"{'NASA': 47, 'fuel efficiency': 64, 'engineering': 91}",74
Healthcare,0.83,"{'diagnosis': 29, 'wait times': 47, 'treatment': 60}",165
Aerospace,0.31,"{'missions': 29, 'rockets': 56, 'satellites': 35}",148
Retail,0.69,"{'pricing': 32, 'offers': 65, 'stock': 72}",109
Government,0.28,"{'healthcare reform': 95, 'budget': 96, 'legislation': 61}",139
Fashion,0.16,"{'luxury': 59, 'retail': 58, 'fabric': 94}",95
Hospitality,0.57,"{'budget': 73, 'tourism': 79, 'luxury': 59}",84
Agriculture,0.6,"{'crops': 52, 'livestock': 25, 'weather': 57}",129
Entertainment,0.62,"{'box office': 36, 'awards': 33, 'movies': 37}",100
E-commerce,0.68,"{'wishlist': 98, 'inventory': 84, 'checkout': 32}",117
Real Estate,0.66,"{'investment': 76, 'housing market': 53, 'amenities': 68}",96
Education,0.06,"{'usability': 40, 'assessment': 85, 'teachers': 80}",142
Agriculture,0.92,"{'fertilizers': 61, 'weather': 63, 'livestock': 64}",159
Telecommunications,0.55,"{'customer support': 56, 'billing': 84, 'infrastructure': 94}",139
Aerospace,0.19,"{'NASA': 36, 'engineering': 28, 'rockets': 83}",56
Government,0.78,"{'elections': 61, 'policy': 90, 'public services': 31}",155
Entertainment,0.51,"{'box office': 31, 'reviews': 47, 'music': 30}",164
Energy,0.03,"{'power grid': 87, 'nuclear': 40, 'gas': 38}",173
Aerospace,0.62,"{'aviation': 58, 'missions': 60, 'NASA': 37}",173
Hospitality,0.22,"{'reservations': 41, 'tourism': 56, 'budget': 85}",134
Food & Beverage,0.93,"{'cuisine': 97, 'delivery': 38, 'ingredients': 96}",132
Real Estate,0.9,"{'pricing': 25, 'construction': 47, 'availability': 33}",182
Fashion,0.81,"{'seasons': 44, 'brands': 20, 'streetwear': 66}",124
Hospitality,0.51,"{'budget': 58, 'restaurants': 71, 'service': 26}",165
Security,0.18,"{'encryption': 35, 'cyberattacks': 32, 'surveillance': 43}",60
E-commerce,0.67,"{'wishlist': 57, 'refund': 56, 'tracking': 44}",130
Automobile,0.73,"{'maintenance': 66, 'warranty': 33, 'safety': 31}",63
Security,0.23,"{'authentication': 93, 'firewalls': 94, 'cyberattacks': 49}",93
Gaming,0.4,"{'multiplayer': 35, 'graphics': 30, 'VR': 37}",65
Telecommunications,0.88,"{'signal': 58, 'data plans': 40, 'roaming': 60}",60
Retail,0.32,"{'promotions': 58, 'offers': 40, 'availability': 56}",114
Hospitality,0.23,"{'budget': 82, 'customer experience': 60, 'reservations': 23}",97
Energy,0.8,"{'solar': 85, 'gas': 51, 'power grid': 20}",153
Aerospace,0.24,"{'defense': 62, 'safety': 86, 'space travel': 90}",66
Pharmaceuticals,0.81,"{'research': 30, 'medications': 77, 'clinical trials': 42}",132
Telecommunications,0.83,"{'network': 65, 'data plans': 40, 'coverage': 69}",141
Pharmaceuticals,0.2,"{'healthcare': 69, 'FDA': 78, 'research': 22}",198
Gaming,0.31,"{'esports': 96, 'PC': 88, 'graphics': 52}",78
Government,0.68,"{'regulations': 35, 'public services': 88, 'budget': 45}",176
Automobile,0.51,"{'mileage': 54, 'insurance': 67, 'performance': 58}",48
Technology,0.0,"{'AI': 100, 'bug': 61, 'cloud': 32}",115
Finance,0.61,"{'savings': 93, 'banking': 75, 'taxes': 82}",36
Education,0.68,"{'platform': 39, 'teachers': 97, 'features': 31}",88
Technology,0.17,"{'hardware': 99, 'cloud': 44, 'design': 95}",178
Finance,0.9,"{'debt': 58, 'savings': 51, 'insurance': 72}",177
E-commerce,0.43,"{'wishlist': 80, 'checkout': 24, 'tracking': 82}",141
Entertainment,0.34,"{'movies': 84, 'content quality': 98, 'video games': 28}",198
Security,0.68,"{'surveillance': 72, 'malware': 49, 'biometrics': 95}",190
Pharmaceuticals,0.93,"{'prescriptions': 97, 'research': 22, 'drug development': 34}",142
Food & Beverage,0.7,"{'health': 80, 'gourmet': 45, 'fast food': 97}",76
Retail,0.29,"{'customer service': 37, 'availability': 55, 'offers': 32}",77
Pharmaceuticals,0.1,"{'clinical trials': 98, 'medications': 52, 'vaccines': 59}",87
Fashion,0.94,"{'trends': 81, 'seasons': 53, 'luxury': 98}",36
Education,0.28,"{'platform': 46, 'exams': 52, 'usability': 22}",148
Security,0.82,"{'surveillance': 86, 'encryption': 30, 'malware': 71}",187
Technology,0.28,"{'performance': 83, 'speed': 99, 'bug': 94}",58
Fashion,0.49,"{'fabric': 33, 'trends': 76, 'retail': 97}",117
Energy,0.13,"{'nuclear': 56, 'power grid': 68, 'carbon footprint': 60}",153
Retail,0.86,"{'pricing': 57, 'discount': 89, 'sales': 71}",154
E-commerce,0.57,"{'pricing': 26, 'wishlist': 33, 'refund': 72}",78
E-commerce,0.52,"{'refund': 30, 'tracking': 31, 'inventory': 24}",134
Security,0.68,"{'biometrics': 39, 'data breaches': 84, 'surveillance': 53}",57
Hospitality,0.49,"{'reservations': 30, 'restaurants': 38, 'tourism': 48}",159
Finance,0.5,"{'budgeting': 92, 'loan': 63, 'debt': 36}",66
Aerospace,0.71,"{'engineering': 24, 'missions': 46, 'aviation': 65}",137
Technology,0.64,"{'update': 63, 'hardware': 29, 'cybersecurity': 40}",141
Government,0.22,"{'policy': 94, 'budget': 94, 'taxation': 49}",65
Gaming,0.45,"{'storyline': 36, 'gameplay': 95, 'console': 91}",143
Agriculture,0.42,"{'farming': 100, 'livestock': 37, 'irrigation': 21}",95
Healthcare,0.51,"{'patient care': 37, 'access': 99, 'hospital': 71}",91
Retail,0.39,"{'customer service': 30, 'promotions': 52, 'discount': 68}",44
Hospitality,0.84,"{'service': 74, 'hotels': 50, 'reservations': 30}",68
Government,0.02,"{'legislation': 67, 'policy': 33, 'elections': 37}",182
Telecommunications,0.69,"{'ISP': 82, 'coverage': 81, 'data plans': 95}",120
Technology,0.64,"{'bug': 76, 'software': 85, 'performance': 98}",120
Technology,0.66,"{'AI': 54, 'performance': 76, 'cloud': 31}",81
Healthcare,0.49,"{'medications': 59, 'access': 97, 'challenges': 34}",95
Security,0.22,"{'data breaches': 44, 'surveillance': 52, 'cyberattacks': 100}",165
Healthcare,0.3,"{'treatment': 41, 'wait times': 61, 'patient care': 79}",130
Pharmaceuticals,0.24,"{'prescriptions': 36, 'vaccines': 80, 'healthcare': 74}",125
Technology,0.52,"{'AI': 59, 'software': 20, 'update': 74}",149
E-commerce,0.76,"{'inventory': 31, 'checkout': 76, 'discounts': 55}",63
Food & Beverage,0.79,"{'ingredients': 26, 'fast food': 99, 'cuisine': 71}",146
Aerospace,0.51,"{'fuel efficiency': 66, 'space travel': 65, 'satellites': 24}",187
Healthcare,0.53,"{'medications': 31, 'treatment': 25, 'diagnosis': 21}",41
Food & Beverage,0.4,"{'fast food': 76, 'cuisine': 100, 'health': 87}",78
Entertainment,0.43,"{'box office': 62, 'music': 97, 'movies': 52}",177
Energy,1.0,"{'nuclear': 97, 'power grid': 40, 'renewable': 85}",163
Food & Beverage,0.3,"{'organic': 96, 'gourmet': 73, 'restaurants': 99}",33
Agriculture,0.45,"{'weather': 35, 'soil quality': 39, 'fertilizers': 62}",39
Pharmaceuticals,0.79,"{'prescriptions': 73, 'drug development': 27, 'vaccines': 90}",182
Healthcare,0.79,"{'access': 96, 'treatment': 85, 'telehealth': 26}",43
Gaming,0.57,"{'esports': 30, 'console': 63, 'gameplay': 82}",147
E-commerce,0.64,"{'inventory': 62, 'wishlist': 67, 'customer support': 54}",77
Food & Beverage,0.72,"{'fast food': 93, 'cuisine': 30, 'restaurants': 33}",159
Government,0.91,"{'taxation': 57, 'security': 97, 'healthcare reform': 94}",105
Healthcare,0.42,"{'wait times': 42, 'insurance': 91, 'patient care': 57}",101
Retail,0.56,"{'pricing': 95, 'customer service': 62, 'loyalty programs': 40}",77
Finance,0.62,"{'interest': 62, 'credit': 28, 'debt': 35}",51
Food & Beverage,0.05,"{'ingredients': 26, 'health': 95, 'cuisine': 78}",148
Pharmaceuticals,0.11,"{'vaccines': 37, 'FDA': 65, 'biotechnology': 22}",35
Finance,0.68,"{'credit': 24, 'taxes': 68, 'budgeting': 38}",35
Retail,0.01,"{'discount': 97, 'pricing': 77, 'stock': 90}",121
Aerospace,0.42,"{'safety': 99, 'satellites': 75, 'engineering': 41}",58
Gaming,0.91,"{'graphics': 39, 'mobile': 44, 'VR': 42}",72
Gaming,0.8,"{'esports': 88, 'storyline': 44, 'PC': 38}",156
Security,0.47,"{'encryption': 95, 'data breaches': 29, 'firewalls': 38}",94
Automobile,0.14,"{'maintenance': 78, 'performance': 50, 'fuel efficiency': 26}",183
Agriculture,0.27,"{'farming': 52, 'fertilizers': 94, 'crops': 66}",129
Food & Beverage,0.23,"{'sustainability': 62, 'ingredients': 32, 'cuisine': 54}",42
Technology,0.86,"{'design': 21, 'cybersecurity': 57, 'hardware': 70}",192
Gaming,0.76,"{'graphics': 75, 'mobile': 67, 'esports': 100}",38
Finance,0.86,"{'banking': 54, 'budgeting': 74, 'savings': 82}",54
Education,0.46,"{'learning': 20, 'features': 69, 'teachers': 84}",35
Technology,0.47,"{'AI': 70, 'hardware': 54, 'speed': 24}",92
Agriculture,0.6,"{'irrigation': 37, 'crops': 41, 'farming': 33}",120
Finance,0.78,"{'insurance': 39, 'credit': 24, 'debt': 86}",34
Food & Beverage,0.21,"{'ingredients': 96, 'restaurants': 96, 'fast food': 23}",178
Entertainment,0.23,"{'content quality': 71, 'reviews': 43, 'music': 39}",152
Retail,0.68,"{'stock': 61, 'availability': 31, 'pricing': 87}",30
Education,0.08,"{'platform': 87, 'usability': 31, 'exams': 67}",80
Retail,0.91,"{'loyalty programs': 58, 'availability': 82, 'promotions': 74}",135
Agriculture,0.51,"{'pesticides': 96, 'livestock': 81, 'fertilizers': 91}",148
Technology,0.39,"{'performance': 57, 'AI': 38, 'bug': 46}",92
Food & Beverage,0.32,"{'fast food': 50, 'gourmet': 26, 'health': 52}",122
Aerospace,0.86,"{'missions': 76, 'space travel': 81, 'rockets': 44}",52
Finance,0.87,"{'credit': 62, 'interest': 56, 'banking': 90}",76
Finance,0.96,"{'debt': 93, 'insurance': 98, 'credit': 70}",122
Food & Beverage,0.81,"{'ingredients': 72, 'organic': 75, 'recipes': 94}",134
Entertainment,0.64,"{'music': 64, 'video games': 22, 'streaming': 43}",113
Security,0.08,"{'encryption': 43, 'cyberattacks': 66, 'passwords': 26}",66
Energy,0.76,"{'wind': 78, 'carbon footprint': 85, 'gas': 86}",164
Aerospace,0.6,"{'missions': 31, 'safety': 93, 'space travel': 85}",164
Food & Beverage,0.46,"{'delivery': 75, 'sustainability': 89, 'ingredients': 25}",133
Real Estate,1.0,"{'housing market': 28, 'property tax': 89, 'mortgage': 43}",148
Security,0.38,"{'firewalls': 77, 'biometrics': 32, 'authentication': 87}",61
Real Estate,0.61,"{'mortgage': 90, 'rent': 85, 'housing market': 24}",74
Real Estate,0.23,"{'property tax': 71, 'availability': 40, 'rent': 54}",149
Automobile,0.17,"{'design': 55, 'features': 22, 'insurance': 85}",39
Food & Beverage,0.58,"{'health': 61, 'recipes': 98, 'cuisine': 98}",109
Energy,0.12,"{'power grid': 51, 'electricity': 60, 'carbon footprint': 98}",85
Telecommunications,0.62,"{'ISP': 71, 'data plans': 45, 'signal': 99}",48
Agriculture,0.81,"{'soil quality': 78, 'harvest': 66, 'sustainability': 77}",93
Healthcare,0.68,"{'treatment': 77, 'telehealth': 67, 'access': 93}",139
Telecommunications,0.99,"{'roaming': 97, 'infrastructure': 72, '5G': 33}",83
Security,0.66,"{'encryption': 33, 'passwords': 92, 'biometrics': 80}",100
Aerospace,0.59,"{'space travel': 72, 'fuel efficiency': 81, 'satellites': 73}",138
Healthcare,0.11,"{'wait times': 25, 'insurance': 42, 'patient care': 51}",48
Food & Beverage,0.84,"{'delivery': 79, 'ingredients': 83, 'recipes': 38}",34
Finance,0.87,"{'budgeting': 48, 'savings': 30, 'insurance': 51}",186
Agriculture,1.0,"{'weather': 99, 'crops': 37, 'irrigation': 73}",53
Automobile,0.17,"{'fuel efficiency': 67, 'maintenance': 70, 'performance': 57}",112
Entertainment,0.8,"{'content quality': 65, 'music': 62, 'box office': 80}",169
Entertainment,0.08,"{'subscriptions': 94, 'content quality': 25, 'awards': 42}",100
Fashion,0.05,"{'luxury': 77, 'designers': 63, 'fabric': 27}",128
Technology,0.4,"{'bug': 38, 'performance': 25, 'update': 88}",151
Telecommunications,0.33,"{'customer support': 72, 'ISP': 24, 'infrastructure': 51}",104
E-commerce,0.79,"{'delivery': 61, 'discounts': 61, 'customer support': 67}",88
Government,0.7,"{'laws': 79, 'budget': 86, 'policy': 56}",37
Telecommunications,0.58,"{'coverage': 59, 'infrastructure': 31, 'ISP': 26}",170
Entertainment,0.94,"{'subscriptions': 63, 'concerts': 97, 'music': 89}",33
Fashion,0.65,"{'luxury': 30, 'runway': 97, 'seasons': 75}",142
Retail,0.07,"{'offers': 62, 'pricing': 85, 'stock': 26}",98
Energy,0.9,"{'carbon footprint': 89, 'electricity': 37, 'solar': 75}",92
Entertainment,0.13,"{'concerts': 38, 'reviews': 26, 'content quality': 58}",119
Hospitality,0.08,"{'travel': 22, 'restaurants': 98, 'budget': 36}",32
E-commerce,0.27,"{'customer support': 27, 'checkout': 68, 'delivery': 27}",123
Entertainment,0.25,"{'streaming': 82, 'concerts': 22, 'movies': 92}",176
Retail,0.99,"{'returns': 54, 'loyalty programs': 92, 'discount': 31}",171
Education,0.52,"{'platform': 77, 'learning': 84, 'students': 63}",107
Energy,0.16,"{'gas': 40, 'solar': 51, 'nuclear': 32}",186
Healthcare,0.13,"{'medications': 94, 'treatment': 62, 'insurance': 23}",190
Telecommunications,0.05,"{'network': 54, 'infrastructure': 38, '5G': 34}",117
Telecommunications,0.26,"{'customer support': 91, '5G': 37, 'network': 39}",181
Retail,0.05,"{'returns': 92, 'pricing': 52, 'discount': 30}",73
Real Estate,0.1,"{'amenities': 27, 'investment': 65, 'rent': 52}",70
Real Estate,0.43,"{'pricing': 51, 'amenities': 36, 'property tax': 86}",77
Retail,0.91,"{'availability': 50, 'loyalty programs': 84, 'pricing': 45}",106
Aerospace,0.35,"{'missions': 30, 'engineering': 88, 'satellites': 45}",173
Retail,0.36,"{'stock': 21, 'promotions': 57, 'discount': 59}",31
Finance,0.81,"{'investment': 39, 'interest': 59, 'savings': 70}",186
Energy,0.9,"{'sustainability': 96, 'power grid': 41, 'wind': 37}",50
Pharmaceuticals,0.53,"{'prescriptions': 87, 'medications': 95, 'vaccines': 66}",71
Automobile,0.33,"{'design': 72, 'features': 20, 'warranty': 50}",80
Food & Beverage,0.07,"{'restaurants': 86, 'cuisine': 49, 'delivery': 69}",74
Energy,0.6,"{'sustainability': 72, 'wind': 55, 'electricity': 66}",130
Energy,0.1,"{'renewable': 88, 'carbon footprint': 46, 'oil': 44}",182
Entertainment,0.76,"{'reviews': 43, 'subscriptions': 80, 'streaming': 68}",37
Aerospace,0.22,"{'missions': 39, 'safety': 57, 'NASA': 69}",90
Pharmaceuticals,0.07,"{'medications': 26, 'vaccines': 22, 'clinical trials': 98}",124
Automobile,0.26,"{'insurance': 70, 'repairs': 44, 'fuel efficiency': 41}",183
Retail,0.22,"{'customer service': 37, 'returns': 78, 'loyalty programs': 35}",191
Aerospace,0.26,"{'fuel efficiency': 45, 'safety': 98, 'missions': 58}",149
Aerospace,0.99,"{'fuel efficiency': 75, 'space travel': 55, 'missions': 91}",132
Fashion,0.19,"{'brands': 93, 'luxury': 46, 'streetwear': 59}",79
Healthcare,0.56,"{'insurance': 74, 'wait times': 60, 'medications': 66}",118
Entertainment,0.68,"{'subscriptions': 93, 'concerts': 29, 'streaming': 41}",97
Real Estate,0.72,"{'property tax': 62, 'pricing': 20, 'mortgage': 32}",163
Pharmaceuticals,0.94,"{'side effects': 39, 'medications': 49, 'prescriptions': 44}",39
Fashion,0.01,"{'fabric': 23, 'runway': 40, 'brands': 63}",70
Education,0.24,"{'usability': 62, 'students': 64, 'assessment': 96}",200
Hospitality,0.43,"{'reservations': 77, 'tourism': 51, 'reviews': 25}",64
Aerospace,0.39,"{'safety': 39, 'missions': 48, 'NASA': 55}",111
E-commerce,0.84,"{'inventory': 89, 'discounts': 58, 'refund': 67}",85
Government,0.94,"{'legislation': 30, 'budget': 92, 'taxation': 36}",162
Education,0.86,"{'platform': 86, 'assessment': 49, 'usability': 84}",123
Energy,0.45,"{'renewable': 56, 'wind': 80, 'carbon footprint': 51}",179
Agriculture,0.89,"{'sustainability': 50, 'pesticides': 20, 'fertilizers': 79}",158
Security,0.73,"{'encryption': 100, 'data breaches': 44, 'biometrics': 100}",122
Automobile,0.51,"{'safety': 26, 'mileage': 89, 'design': 96}",116
Hospitality,0.75,"{'customer experience': 77, 'hotels': 42, 'service': 34}",111
Pharmaceuticals,0.73,"{'clinical trials': 30, 'side effects': 87, 'research': 65}",162
Telecommunications,0.21,"{'roaming': 37, '5G': 100, 'coverage': 20}",174
Aerospace,0.89,"{'missions': 58, 'defense': 52, 'engineering': 55}",95
Finance,0.61,"{'insurance': 39, 'taxes': 48, 'debt': 82}",193
Government,0.29,"{'taxation': 91, 'policy': 34, 'elections': 59}",39
Real Estate,0.74,"{'investment': 35, 'amenities': 54, 'availability': 28}",139
Automobile,0.29,"{'safety': 30, 'maintenance': 30, 'warranty': 91}",170
Telecommunications,0.5,"{'roaming': 78, 'coverage': 75, 'ISP': 46}",109
Gaming,0.76,"{'console': 63, 'VR': 76, 'multiplayer': 82}",115
Government,0.12,"{'policy': 28, 'legislation': 39, 'healthcare reform': 33}",165
Retail,0.18,"{'promotions': 70, 'pricing': 21, 'returns': 27}",180
E-commerce,0.93,"{'wishlist': 22, 'tracking': 52, 'inventory': 63}",137
Government,0.85,"{'budget': 95, 'taxation': 99, 'public services': 41}",30
Education,0.78,"{'interface': 35, 'usability': 87, 'curriculum': 38}",35
Security,0.19,"{'encryption': 78, 'data breaches': 28, 'firewalls': 69}",119
Healthcare,0.66,"{'insurance': 21, 'access': 33, 'diagnosis': 69}",108
Government,0.26,"{'elections': 35, 'taxation': 51, 'legislation': 41}",118
Real Estate,0.16,"{'location': 96, 'availability': 59, 'housing market': 57}",156
E-commerce,0.02,"{'customer support': 70, 'refund': 65, 'wishlist': 48}",35
Security,0.72,"{'malware': 97, 'authentication': 90, 'data breaches': 45}",120
Agriculture,0.67,"{'weather': 88, 'fertilizers': 37, 'irrigation': 61}",177
Government,0.13,"{'security': 84, 'elections': 28, 'regulations': 22}",58
Food & Beverage,0.19,"{'health': 46, 'organic': 47, 'restaurants': 57}",193
Telecommunications,0.95,"{'customer support': 28, 'infrastructure': 89, 'data plans': 94}",45
Agriculture,0.67,"{'irrigation': 43, 'crops': 96, 'fertilizers': 94}",150
Government,0.53,"{'taxation': 30, 'elections': 31, 'policy': 50}",86
Healthcare,0.82,"{'diagnosis': 88, 'hospital': 20, 'insurance': 42}",76
Automobile,0.22,"{'mileage': 77, 'maintenance': 73, 'features': 98}",186
Education,0.06,"{'assessment': 100, 'teachers': 93, 'features': 41}",142
Government,0.61,"{'elections': 20, 'budget': 69, 'taxation': 35}",150
Food & Beverage,0.75,"{'delivery': 37, 'cuisine': 71, 'health': 63}",132
Technology,0.66,"{'design': 38, 'software': 86, 'cloud': 27}",147
E-commerce,0.29,"{'tracking': 41, 'refund': 65, 'discounts': 59}",106
Security,0.89,"{'data breaches': 23, 'encryption': 24, 'malware': 74}",188
Entertainment,0.89,"{'subscriptions': 58, 'content quality': 48, 'movies': 40}",182
Finance,0.08,"{'investment': 100, 'savings': 73, 'interest': 33}",192
Entertainment,0.04,"{'content quality': 62, 'music': 79, 'streaming': 63}",74
Entertainment,0.48,"{'reviews': 66, 'awards': 51, 'concerts': 90}",189
Security,0.98,"{'authentication': 52, 'firewalls': 58, 'encryption': 97}",61
Hospitality,0.01,"{'tourism': 23, 'travel': 23, 'customer experience': 98}",192
Gaming,0.11,"{'VR': 51, 'esports': 99, 'mobile': 75}",172
Gaming,0.21,"{'multiplayer': 66, 'esports': 91, 'storyline': 79}",109
E-commerce,0.18,"{'checkout': 32, 'refund': 94, 'delivery': 56}",37
Telecommunications,0.82,"{'5G': 41, 'billing': 55, 'data plans': 89}",141
Pharmaceuticals,0.97,"{'clinical trials': 28, 'research': 25, 'healthcare': 42}",153
Finance,0.65,"{'debt': 55, 'investment': 33, 'taxes': 57}",178
Energy,0.43,"{'solar': 39, 'wind': 56, 'oil': 34}",76
E-commerce,0.15,"{'tracking': 97, 'inventory': 53, 'delivery': 28}",43
Pharmaceuticals,0.0,"{'prescriptions': 42, 'drug development': 97, 'research': 23}",118
Food & Beverage,0.68,"{'recipes': 94, 'delivery': 65, 'cuisine': 66}",51
Telecommunications,0.34,"{'signal': 56, 'coverage': 39, '5G': 88}",169
Automobile,0.53,"{'warranty': 51, 'features': 76, 'insurance': 25}",174
Healthcare,0.8,"{'insurance': 91, 'medications': 36, 'access': 86}",64
Finance,0.03,"{'taxes': 65, 'interest': 91, 'credit': 85}",165
Entertainment,0.79,"{'movies': 31, 'content quality': 30, 'awards': 84}",60
Pharmaceuticals,0.4,"{'side effects': 50, 'healthcare': 49, 'medications': 52}",78
Automobile,0.25,"{'design': 91, 'performance': 34, 'mileage': 55}",39
Real Estate,0.77,"{'availability': 85, 'mortgage': 67, 'housing market': 36}",191
Aerospace,0.22,"{'fuel efficiency': 38, 'satellites': 95, 'missions': 71}",105
Food & Beverage,0.47,"{'recipes': 61, 'organic': 20, 'restaurants': 61}",148
Healthcare,0.51,"{'wait times': 98, 'diagnosis': 27, 'medications': 24}",139
E-commerce,0.29,"{'refund': 68, 'pricing': 26, 'delivery': 92}",115
Fashion,0.43,"{'trends': 55, 'retail': 74, 'luxury': 40}",125
Government,0.32,"{'laws': 58, 'regulations': 72, 'legislation': 57}",142
Security,0.16,"{'malware': 66, 'firewalls': 41, 'cyberattacks': 41}",178
Healthcare,0.25,"{'wait times': 75, 'access': 96, 'medications': 41}",111
Automobile,0.74,"{'warranty': 73, 'insurance': 83, 'maintenance': 59}",45
Retail,0.2,"{'loyalty programs': 50, 'customer service': 62, 'sales': 26}",199
Entertainment,0.15,"{'box office': 47, 'streaming': 49, 'concerts': 87}",66
Real Estate,0.65,"{'pricing': 84, 'construction': 46, 'investment': 24}",72
Security,0.02,"{'passwords': 90, 'malware': 68, 'firewalls': 99}",53
Automobile,0.97,"{'fuel efficiency': 41, 'design': 22, 'maintenance': 25}",164
Healthcare,0.38,"{'telehealth': 80, 'hospital': 27, 'wait times': 95}",171
E-commerce,0.14,"{'discounts': 86, 'pricing': 44, 'refund': 70}",185
Technology,0.92,"{'cloud': 34, 'hardware': 99, 'speed': 83}",67
Technology,0.69,"{'AI': 52, 'cloud': 41, 'performance': 91}",67
Security,0.76,"{'biometrics': 72, 'encryption': 81, 'firewalls': 76}",173
Government,0.29,"{'public services': 27, 'taxation': 31, 'laws': 44}",176
Aerospace,0.85,"{'space travel': 72, 'satellites': 32, 'missions': 60}",150
Finance,0.27,"{'savings': 54, 'banking': 97, 'taxes': 87}",101
Retail,0.72,"{'loyalty programs': 80, 'discount': 64, 'sales': 76}",44
Hospitality,0.42,"{'luxury': 80, 'customer experience': 90, 'hotels': 50}",64
Healthcare,0.39,"{'diagnosis': 83, 'patient care': 55, 'access': 58}",62
Hospitality,0.23,"{'travel': 94, 'customer experience': 53, 'hotels': 48}",74
Security,0.85,"{'authentication': 20, 'firewalls': 25, 'cyberattacks': 82}",119
Education,0.2,"{'platform': 32, 'learning': 37, 'exams': 78}",164
Food & Beverage,0.76,"{'ingredients': 49, 'organic': 58, 'fast food': 41}",56
Finance,0.3,"{'investment': 52, 'loan': 65, 'savings': 38}",53
Aerospace,0.23,"{'missions': 43, 'aviation': 43, 'safety': 48}",179
Retail,0.0,"{'loyalty programs': 45, 'returns': 94, 'pricing': 74}",73
Automobile,0.98,"{'features': 46, 'fuel efficiency': 68, 'warranty': 89}",193
Real Estate,0.86,"{'investment': 66, 'construction': 86, 'availability': 24}",77
Food & Beverage,0.49,"{'sustainability': 65, 'gourmet': 40, 'recipes': 97}",151
Finance,0.1,"{'banking': 94, 'taxes': 81, 'loan': 33}",130
Fashion,0.8,"{'trends': 37, 'runway': 63, 'fabric': 21}",111
Agriculture,0.27,"{'sustainability': 91, 'fertilizers': 65, 'pesticides': 58}",167
Automobile,0.25,"{'warranty': 90, 'features': 34, 'performance': 41}",187
E-commerce,0.23,"{'service': 68, 'refund': 71, 'inventory': 38}",62
Retail,0.56,"{'customer service': 93, 'offers': 84, 'discount': 78}",65
Hospitality,0.37,"{'reviews': 97, 'restaurants': 70, 'service': 61}",101
Government,0.16,"{'public services': 61, 'budget': 45, 'healthcare reform': 27}",184
Food & Beverage,0.67,"{'organic': 47, 'health': 98, 'ingredients': 95}",102
Food & Beverage,0.51,"{'organic': 20, 'gourmet': 85, 'fast food': 57}",151
Education,0.71,"{'learning': 96, 'assessment': 40, 'features': 72}",45
Energy,0.74,"{'power grid': 79, 'electricity': 85, 'renewable': 38}",77
Government,0.82,"{'legislation': 84, 'policy': 99, 'laws': 52}",164
Pharmaceuticals,0.72,"{'prescriptions': 41, 'biotechnology': 45, 'FDA': 53}",72
E-commerce,0.05,"{'inventory': 57, 'delivery': 95, 'customer support': 49}",132
Food & Beverage,0.43,"{'recipes': 53, 'sustainability': 89, 'ingredients': 96}",98
E-commerce,0.15,"{'refund': 65, 'wishlist': 55, 'pricing': 82}",102
Education,0.66,"{'learning': 25, 'exams': 61, 'features': 53}",58
Telecommunications,0.21,"{'roaming': 95, 'infrastructure': 90, 'customer support': 50}",37
Finance,0.77,"{'banking': 50, 'loan': 91, 'budgeting': 29}",114
